[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,19,97,28,0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,19,97,28,0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 19 - 3 - 1 - 28 - [0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27] - 32
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":17,"value":{"type":"Buffer","data":[0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27]}}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":59}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,59,0,11]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,17,0,97]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,17,0,97]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [17,0] - 97
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":17}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":59,"offset":0}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,59,0,0,0,2]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,19,97,28,0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext [254,19,97,28,0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --> parsed 19 - 3 - 1 - 28 - [0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27] - 32
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":17,"value":{"type":"Buffer","data":[0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27]}}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: (stage-1) adapter is configured
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: (stage-2) adapter state matches configuration
[2026-03-12 12:53:59] debug: 	zh:adapter:zstack:manager: determined startup strategy: startup
[2026-03-12 12:53:59] debug: 	zh:zstack:znp: --> SREQ: UTIL - getDeviceInfo - {}
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:writer: --> frame [254,0,39,0,39]
[2026-03-12 12:53:59] debug: 	zh:zstack:unpi:parser: <-- [254,22,103,0,0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202,58]
