[2026-03-12 13:05:52] debug: 	z2m: Removing old log directory '/config/zigbee2mqtt/log/2026-03-11.21-50-26'
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,0,33,2,35]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,10,97,2,2,1,2,7,1,209,254,52,1,0,116]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,10,97,2,2,1,2,7,1,209,254,52,1,0,116]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 10 - 3 - 1 - 2 - [2,1,2,7,1,209,254,52,1,0] - 116
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - version - {"transportrev":2,"product":1,"majorrel":2,"minorrel":7,"maintrel":1,"revision":20250321}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack: Adapter concurrent: 16
[2026-03-12 13:05:53] debug: 	zh:zstack: Detected znp version 'ZStack3x0' ({"transportrev":2,"product":1,"majorrel":2,"minorrel":7,"maintrel":1,"revision":20250321})
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: beginning znp startup
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":130}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,130,0,178]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,24,0,104]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,24,0,104]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [24,0] - 104
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":24}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":130,"offset":0}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,130,0,0,0,187]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,26,97,28,0,24,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,130,0,32,0,174,0,0,44]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,26,97,28,0,24,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,130,0,32,0,174,0,0,44]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 26 - 3 - 1 - 28 - [0,24,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,130,0,32,0,174,0,0] - 44
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":24,"value":{"type":"Buffer","data":[0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,130,0,32,0,174,0,0]}}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: determining znp startup strategy
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":96}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,96,0,80]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,1,0,113]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,1,0,113]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [1,0] - 113
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":1}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":96,"offset":0}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,96,0,0,0,89]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,3,97,28,0,1,85,42]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,97,28,0,1,85,42]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 3 - 1 - 28 - [0,1,85] - 42
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":1,"value":{"type":"Buffer","data":[85]}}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":33}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,33,0,17]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,116,0,4]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,116,0,4]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [116,0] - 4
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":116}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":33,"offset":0}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,33,0,0,0,24]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,118,97,28,0,116,80,5,2,76,15,76,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,169,56,8,0,0,0,0,2,15,15,4,0,1,0,0,0,1,0,0,0,0,215,126,80,69,211,64,210,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,141,170,0,0,202]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,118,97,28,0,116,80,5,2,76,15,76,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,169,56,8,0,0,0,0,2,15,15,4,0,1,0,0,0,1,0,0,0,0,215,126,80,69,211,64,210,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,141,170,0,0,202]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 118 - 3 - 1 - 28 - [0,116,80,5,2,76,15,76,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,169,56,8,0,0,0,0,2,15,15,4,0,1,0,0,0,1,0,0,0,0,215,126,80,69,211,64,210,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,141,170,0,0] - 202
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":116,"value":{"type":"Buffer","data":[80,5,2,76,15,76,0,30,0,0,0,1,5,1,143,0,8,0,2,13,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,169,56,8,0,0,0,0,2,15,15,4,0,1,0,0,0,1,0,0,0,0,215,126,80,69,211,64,210,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,1,60,10,1,0,0,0,141,170,0,0]}}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":98}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,98,0,82]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,16,0,96]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,16,0,96]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [16,0] - 96
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":16}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":98,"offset":0}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,98,0,0,0,91]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,18,97,28,0,16,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,18,97,28,0,16,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 18 - 3 - 1 - 28 - [0,16,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27] - 32
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":16,"value":{"type":"Buffer","data":[163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27]}}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":58}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,58,0,10]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,17,0,97]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,17,0,97]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [17,0] - 97
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":17}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":58,"offset":0}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,58,0,0,0,3]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,19,97,28,0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,19,97,28,0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 19 - 3 - 1 - 28 - [0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27] - 32
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":17,"value":{"type":"Buffer","data":[0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27]}}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvLength - {"id":59}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,2,33,19,59,0,11]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,2,97,19,17,0,97]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,2,97,19,17,0,97]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 2 - 3 - 1 - 19 - [17,0] - 97
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvLength - {"length":17}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: SYS - osalNvReadExt - {"id":59,"offset":0}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,4,33,28,59,0,0,0,2]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,19,97,28,0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,19,97,28,0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27,32]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 19 - 3 - 1 - 28 - [0,17,0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27] - 32
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: SYS - osalNvReadExt - {"status":0,"len":17,"value":{"type":"Buffer","data":[0,163,131,110,153,186,210,17,209,113,80,180,174,15,232,231,27]}}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: (stage-1) adapter is configured
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: (stage-2) adapter state matches configuration
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: determined startup strategy: startup
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: UTIL - getDeviceInfo - {}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,0,39,0,39]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,22,103,0,0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202,58]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,22,103,0,0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202,58]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 22 - 3 - 7 - 0 - [0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202] - 58
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: UTIL - getDeviceInfo - {"status":0,"ieeeaddr":"0x00124b00257b6a6e","shortaddr":0,"devicetype":7,"devicestate":9,"numassocdevices":4,"assocdeviceslist":[26252,4846,32906,51860]}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: adapter is already running in coordinator mode
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,4,37,5,0,0,0,0,36]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,1,101,5,0,97,254,21,69,133,0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1,137]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,101,5,0,97,254,21,69,133,0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1,137]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 5 - 5 - [0] - 97
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: ZDO - activeEpReq
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,21,69,133,0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1,137]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 21 - 2 - 5 - 133 - [0,0,0,0,0,15,242,239,47,13,12,110,11,10,8,6,5,4,3,2,1] - 137
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- AREQ: ZDO - activeEpRsp
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '1' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '2' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '3' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '4' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '5' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '6' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '8' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '10' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '11' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '110' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '12' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '13' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '47' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '239' already registered
[2026-03-12 13:05:53] debug: 	zh:adapter:zstack:manager: endpoint '242' already registered
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: ZDO - extFindGroup - {"endpoint":242,"groupid":2948}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,3,37,74,242,132,11,17]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,19,101,74,0,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,19,101,74,0,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 19 - 3 - 5 - 74 - [0,132,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] - 179
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: <-- SRSP: ZDO - extFindGroup
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:53] debug: 	zh:controller: Started with result 'resumed'
[2026-03-12 13:05:53] debug: 	zh:zstack:znp: --> SREQ: ZDO - extNwkInfo - {}
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:writer: --> frame [254,0,37,80,117]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: <-- [254,24,101,80,0,0,9,169,56,0,0,215,126,80,69,211,64,210,29,0,0,0,0,0,0,0,0,25,76]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --- parseNext [254,24,101,80,0,0,9,169,56,0,0,215,126,80,69,211,64,210,29,0,0,0,0,0,0,0,0,25,76]
[2026-03-12 13:05:53] debug: 	zh:zstack:unpi:parser: --> parsed 24 - 3 - 5 - 80 - [0,0,9,169,56,0,0,215,126,80,69,211,64,210,29,0,0,0,0,0,0,0,0,25] - 76
[2026-03-12 13:05:54] debug: 	zh:zstack:znp: <-- SRSP: ZDO - extNwkInfo
[2026-03-12 13:05:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:54] debug: 	zh:controller: Injected database: true, adapter: true
[2026-03-12 13:05:54] debug: 	zh:zstack:znp: --> SREQ: UTIL - getDeviceInfo - {}
[2026-03-12 13:05:54] debug: 	zh:zstack:unpi:writer: --> frame [254,0,39,0,39]
[2026-03-12 13:05:54] debug: 	zh:zstack:unpi:parser: <-- [254,22,103,0,0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202,58]
[2026-03-12 13:05:54] debug: 	zh:zstack:unpi:parser: --- parseNext [254,22,103,0,0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202,58]
[2026-03-12 13:05:54] debug: 	zh:zstack:unpi:parser: --> parsed 22 - 3 - 7 - 0 - [0,110,106,123,37,0,75,18,0,0,0,7,9,4,140,102,238,18,138,128,148,202] - 58
[2026-03-12 13:05:54] debug: 	zh:zstack:znp: <-- SRSP: UTIL - getDeviceInfo - {"status":0,"ieeeaddr":"0x00124b00257b6a6e","shortaddr":0,"devicetype":7,"devicestate":9,"numassocdevices":4,"assocdeviceslist":[26252,4846,32906,51860]}
[2026-03-12 13:05:54] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2026-03-12 13:05:54] debug: 	zh:controller:device: Request Queue (0x00124b00257b6a6e): default expiration timeout set to 0
[2026-03-12 13:05:54] debug: 	zh:controller:device: Request Queue (0x00158d008c4b0068): default expiration timeout set to 3600000
[2026-03-12 13:05:54] debug: 	zh:controller:device: Request Queue (0x00158d008c4b0072): default expiration timeout set to 3600000
[2026-03-12 13:05:54] debug: 	zh:controller:device: Request Queue (0x00158d008bc381e1): default expiration timeout set to 3600000
[2026-03-12 13:05:54] debug: 	zh:controller:device: Request Queue (0x2c1165fffe38f2c8): default expiration timeout set to 0
[2026-03-12 13:05:54] debug: 	zh:controller:device: Request Queue (0x2c1165fffe2d42b7): default expiration timeout set to 0
[2026-03-12 13:05:54] debug: 	zh:controller:device: Request Queue (0x0c4314fffea75c93): default expiration timeout set to 0
[2026-03-12 13:05:54] debug: 	zh:controller:device: Request Queue (0x0c4314fffef7fae6): default expiration timeout set to 0
[2026-03-12 13:05:54] debug: 	zh:controller:device: Request Queue (0x7cb03eaa0a0b0dc0): default expiration timeout set to 0
[2026-03-12 13:05:54] debug: 	zh:controller:device: Request Queue (0x001788010916738d): default expiration timeout set to 0
[2026-03-12 13:05:54] debug: 	zhc: Getting definitions for: lumi.js,54
[2026-03-12 13:05:54] debug: 	zhc: Getting definitions for: lumi.js,54
[2026-03-12 13:05:54] debug: 	zhc: Getting definitions for: lumi.js,54
[2026-03-12 13:05:54] debug: 	zhc: Getting definitions for: tuya.js,274,tuya.js,273,tuya.js,271,tuya.js,130,tuya.js,129,moes.js,28,lidl.js,2,immax.js,20
[2026-03-12 13:05:54] debug: 	zhc: Candidates for 0x2c1165fffe38f2c8/TS004F: ZG-101Z/D/Tuya,ERS-10TZBVK-AA/Tuya,YSR-MINI-Z/Tuya,TS004F_6_button/Tuya,TS004F/Tuya,ERS-10TZBVB-AA/Moes,HG08164/Lidl,07767L/Immax
[2026-03-12 13:05:54] debug: 	zhc: Getting definitions for: tuya.js,274,tuya.js,273,tuya.js,271,tuya.js,130,tuya.js,129,moes.js,28,lidl.js,2,immax.js,20
[2026-03-12 13:05:54] debug: 	zhc: Candidates for 0x2c1165fffe2d42b7/TS004F: ZG-101Z/D/Tuya,ERS-10TZBVK-AA/Tuya,YSR-MINI-Z/Tuya,TS004F_6_button/Tuya,TS004F/Tuya,ERS-10TZBVB-AA/Moes,HG08164/Lidl,07767L/Immax
[2026-03-12 13:05:54] debug: 	zhc: Getting definitions for: innr.js,70
[2026-03-12 13:05:54] debug: 	zhc: Getting definitions for: innr.js,70
